Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
NFIREQUIS	NOTAS FISCAIS DOS ITENS DA REQUISIÇÃO DE ORDEM DE SERVIÇO	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
NFIREQUIS	NOTAS FISCAIS DOS ITENS DA REQUISIÇÃO DE ORDEM DE SERVIÇO	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
NFIREQUIS	NOTAS FISCAIS DOS ITENS DA REQUISIÇÃO DE ORDEM DE SERVIÇO	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
NFIREQUIS	NOTAS FISCAIS DOS ITENS DA REQUISIÇÃO DE ORDEM DE SERVIÇO	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
OSTERCEIRO	OSTERCEIRO	CODI_OSE	Número da Ordem de Serviço	dtInteger	T	F
OSTERCEIRO	OSTERCEIRO	EMPR_OST	Empresa do documento	dtInteger	T	F
OSTERCEIRO	OSTERCEIRO	TIPO_OST	Tipo do documento NT/CT	dtString	T	F
OSTERCEIRO	OSTERCEIRO	NUME_OST	Número do documento	dtInteger	T	F
OSTERCEIRO	OSTERCEIRO	SERI_OST	Série do Documento	dtString	T	F
OSTERCEIRO	OSTERCEIRO	CODI_TRA	Código do Parceiro	dtInteger	T	F
OSTERCEIRO	OSTERCEIRO	DUMANUT	Data da última manutenção	dtDateTime	T	F
OSTERCEIRO	OSTERCEIRO	DINSERT	Data da inserção	dtDateTime	T	F
OSTERCEIRO	OSTERCEIRO	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
OSTERCEIRO	OSTERCEIRO	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
OSTERCEIRO	OSTERCEIRO	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
OSTERCEIRO	OSTERCEIRO	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
OSTERCEIRO	OSTERCEIRO	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
REVEQUIP	REVEQUIP	CODI_REV	Número da Revisão	dtInteger	T	F
REVEQUIP	REVEQUIP	CODI_EQU	Número do Equipamento	dtInteger	T	F
REVEQUIP	REVEQUIP	TIPO_REV	Tipo da Revisão (D)ata, (H)orímetro, (S)em Garantia	dtString	T	F
REVEQUIP	REVEQUIP	HORI_REV	Horímetro/KM da Revisão	dtInteger	T	F
REVEQUIP	REVEQUIP	DPRE_REV	Data prevista	dtDateTime	T	F
REVEQUIP	REVEQUIP	CODI_OSE	Número da ordem de serviço	dtInteger	T	F
REVEQUIP	REVEQUIP	DUMANUT	Data da última manutenção	dtDateTime	T	F
REVEQUIP	REVEQUIP	DINSERT	Data da inserção	dtDateTime	T	F
REVEQUIP	REVEQUIP	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
REVEQUIP	REVEQUIP	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
REVEQUIP	REVEQUIP	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
REVEQUIP	REVEQUIP	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
REVEQUIP	REVEQUIP	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
SOLIGARAN	SOLIGARAN	CODI_SGA	Número da Solicitação da Garantia	dtInteger	T	F
SOLIGARAN	SOLIGARAN	CODI_OSE	Número da ordem de serviço	dtInteger	T	F
SOLIGARAN	SOLIGARAN	DATA_SGA	Data da Solicitação da Garantia	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	DREP_SGA	Data de Reparo	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	DEFE_SGA	Defeito	dtBLOB	T	F
SOLIGARAN	SOLIGARAN	SITU_SGA	Situação da Solicitação da Garantia EM(itida), EN(viada para fornecedor, RE(tornada), CO(nfirmada))	dtString	T	F
